stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,stop_abribus
JUIN1841911,41911,De Lausanne / De La Louvière [41911] ,-73.7176,45.618978,0,0,0
AOUT1841912,41912,Laval / Des Prés [41912] ,-73.71597,45.562553,0,0,0
JUIN1841912,41912,Laval / Des Prés [41912] ,-73.71597,45.562553,0,0,0
AOUT1841913,41913,Laval / Du Souvenir [41913] ,-73.71687,45.563937,0,0,0
JUIN1841913,41913,Laval / Du Souvenir [41913] ,-73.71687,45.563937,0,0,0
AOUT1841914,41914,Laval / Du Souvenir [41914] ,-73.71757,45.564197,0,0,1
JUIN1841914,41914,Laval / Du Souvenir [41914] ,-73.71757,45.564197,0,0,1
AOUT1841915,41915,Laval / Du Trait-Carré [41915] ,-73.71857,45.565707,0,0,1
AOUT18CP41915,41915,Laval / Du Trait-Carré [41915] ,-73.71857,45.565707,0,0,1
JUIN1841915,41915,Laval / Du Trait-Carré [41915] ,-73.71857,45.565707,0,0,1
JUIN18CP41915,41915,Laval / Du Trait-Carré [41915] ,-73.71857,45.565707,0,0,1
AOUT1841916,41916,Laval / Jolivet [41916] ,-73.71978,45.567423,0,0,0
JUIN1841916,41916,Laval / Jolivet [41916] ,-73.71978,45.567423,0,0,0
AOUT1841917,41917,Laval / Du Trait-Carré [41917] ,-73.71932,45.565876,0,0,1
AOUT18CP41917,41917,Laval / Du Trait-Carré [41917] ,-73.71932,45.565876,0,0,1
JUIN1841917,41917,Laval / Du Trait-Carré [41917] ,-73.71932,45.565876,0,0,1
JUIN18CP41917,41917,Laval / Du Trait-Carré [41917] ,-73.71932,45.565876,0,0,1
AOUT1841918,41918,Laval / Face Au 800 [41918] ,-73.72028,45.567449,0,0,1
JUIN1841918,41918,Laval / Face Au 800 [41918] ,-73.72028,45.567449,0,0,1
AOUT1841919,41919,Laval / Face Au 1700 [41919] ,-73.71995,45.569933,0,0,0
JUIN1841919,41919,Laval / Face Au 1700 [41919] ,-73.71995,45.569933,0,0,0
AOUT1841920,41920,Laval / Face Au 1700 [41920] ,-73.72042,45.56977,0,0,1
JUIN1841920,41920,Laval / Face Au 1700 [41920] ,-73.72042,45.56977,0,0,1
AOUT1841921,41921,Laval / Saint-Martin [41921] ,-73.72018,45.570847,0,0,1
JUIN1841921,41921,Laval / Saint-Martin [41921] ,-73.72018,45.570847,0,0,1
AOUT1841922,41922,Laval / Saint-Martin [41922] ,-73.72084,45.571038,0,0,1
JUIN1841922,41922,Laval / Saint-Martin [41922] ,-73.72084,45.571038,0,0,1
AOUT1841923,41923,Laval / D'argenteuil [41923] ,-73.71066,45.556651,0,0,1
JUIN1841923,41923,Laval / D'argenteuil [41923] ,-73.71066,45.556651,0,0,1
AOUT1841924,41924,Laval / Raymond-Casgrain [41924] ,-73.71105,45.557919,0,0,0
JUIN1841924,41924,Laval / Raymond-Casgrain [41924] ,-73.71105,45.557919,0,0,0
AOUT1841925,41925,Laval / Raymond-Casgrain [41925] ,-73.71156,45.558071,0,0,0
JUIN1841925,41925,Laval / Raymond-Casgrain [41925] ,-73.71156,45.558071,0,0,0
AOUT1841928,41928,Laval / Dubé [41928] ,-73.71439,45.5614,0,0,0
JUIN1841928,41928,Laval / Dubé [41928] ,-73.71439,45.5614,0,0,0
AOUT1841929,41929,Laval / Dubé [41929] ,-73.71483,45.561377,0,0,0
JUIN1841929,41929,Laval / Dubé [41929] ,-73.71483,45.561377,0,0,0
AOUT1841930,41930,Laval / Des Prés [41930] ,-73.71548,45.562521,0,0,0
JUIN1841930,41930,Laval / Des Prés [41930] ,-73.71548,45.562521,0,0,0
AOUT1841931,41931,Le Carrefour / Le Corbusier [41931] ,-73.74128,45.572194,0,1,1
JUIN1841931,41931,Le Carrefour / Le Corbusier [41931] ,-73.74128,45.572194,0,1,1
AOUT1841932,41932,Le Carrefour / Le Corbusier [41932] ,-73.74197,45.572102,0,0,1
JUIN1841932,41932,Le Carrefour / Le Corbusier [41932] ,-73.74197,45.572102,0,0,1
AOUT1841933,41933,Le Carrefour / Beauregard [41933] ,-73.76445,45.558222,0,0,0
JUIN1841933,41933,Le Carrefour / Beauregard [41933] ,-73.76445,45.558222,0,0,0
AOUT1841934,41934,Le Carrefour / Beauregard [41934] ,-73.76464,45.557862,0,0,1
JUIN1841934,41934,Le Carrefour / Beauregard [41934] ,-73.76464,45.557862,0,0,1
AOUT18CP41935,41935,Le Carrefour / Curé-Labelle [41935] ,-73.76652,45.557146,0,0,1
JUIN18CP41935,41935,Le Carrefour / Curé-Labelle [41935] ,-73.76652,45.557146,0,0,1
AOUT1841936,41936,Le Carrefour / Albert-Murphy [41936] ,-73.76232,45.559001,0,0,1
JUIN1841936,41936,Le Carrefour / Albert-Murphy [41936] ,-73.76232,45.559001,0,0,1
AOUT1841937,41937,Le Corbusier / Du Souvenir - Centre Laval [41937] ,-73.72867,45.561807,0,0,1
AOUT18CP41937,41937,Le Corbusier / Du Souvenir - Centre Laval [41937] ,-73.72867,45.561807,0,0,1
JUIN1841937,41937,Le Corbusier / Du Souvenir - Centre Laval [41937] ,-73.72867,45.561807,0,0,1
JUIN18CP41937,41937,Le Corbusier / Du Souvenir - Centre Laval [41937] ,-73.72867,45.561807,0,0,1
AOUT1841938,41938,Le Corbusier / Face Au 1869 [41938] ,-73.7365,45.568669,0,0,1
JUIN1841938,41938,Le Corbusier / Face Au 1869 [41938] ,-73.7365,45.568669,0,0,1
AOUT1841941,41941,Le Corbusier / Albert-Duquesne [41941] ,-73.73419,45.566715,0,0,1
JUIN1841941,41941,Le Corbusier / Albert-Duquesne [41941] ,-73.73419,45.566715,0,0,1
AOUT1841942,41942,Le Corbusier / Albert-Duquesne [41942] ,-73.73452,45.567098,0,0,1
JUIN1841942,41942,Le Corbusier / Albert-Duquesne [41942] ,-73.73452,45.567098,0,0,1
AOUT1841943,41943,Le Corbusier / Face Au 2577 [41943] ,-73.7435,45.577694,0,0,0
JUIN1841943,41943,Le Corbusier / Face Au 2577 [41943] ,-73.7435,45.577694,0,0,0
AOUT1841944,41944,Le Corbusier / Cunard [41944] ,-73.7431,45.576432,0,0,1
JUIN1841944,41944,Le Corbusier / Cunard [41944] ,-73.7431,45.576432,0,0,1
AOUT1841945,41945,Le Corbusier / Berlier [41945] ,-73.74844,45.582331,0,0,1
JUIN1841945,41945,Le Corbusier / Berlier [41945] ,-73.74844,45.582331,0,0,1
AOUT18CP41946,41946,Le Corbusier / Saint-Elzéar [41946] ,-73.75033,45.584215,0,0,1
JUIN18CP41946,41946,Le Corbusier / Saint-Elzéar [41946] ,-73.75033,45.584215,0,0,1
AOUT1841947,41947,Le Corbusier / Face Au 2584 [41947] ,-73.74357,45.577251,0,0,0
JUIN1841947,41947,Le Corbusier / Face Au 2584 [41947] ,-73.74357,45.577251,0,0,0
AOUT1841948,41948,Le Corbusier / Monterey [41948] ,-73.75176,45.58539,0,0,0
JUIN1841948,41948,Le Corbusier / Monterey [41948] ,-73.75176,45.58539,0,0,0
AOUT1841949,41949,Le Corbusier / Berlier [41949] ,-73.7479,45.581345,0,0,1
JUIN1841949,41949,Le Corbusier / Berlier [41949] ,-73.7479,45.581345,0,0,1
AOUT1841950,41950,Le Corbusier / Cunard [41950] ,-73.74259,45.575974,0,0,0
JUIN1841950,41950,Le Corbusier / Cunard [41950] ,-73.74259,45.575974,0,0,0
AOUT1841951,41951,Le Corbusier / Michelin [41951] ,-73.7536,45.587087,0,1,1
JUIN1841951,41951,Le Corbusier / Michelin [41951] ,-73.7536,45.587087,0,1,1
AOUT1841952,41952,Le Corbusier / Saint-Martin [41952] ,-73.73143,45.564352,0,0,1
JUIN1841952,41952,Le Corbusier / Saint-Martin [41952] ,-73.73143,45.564352,0,0,1
AOUT1841953,41953,Le Corbusier / Le Chatelier [41953] ,-73.75598,45.58918,0,0,0
JUIN1841953,41953,Le Corbusier / Le Chatelier [41953] ,-73.75598,45.58918,0,0,0
AOUT1841954,41954,Le Corbusier / Monterey [41954] ,-73.75163,45.584848,0,0,1
JUIN1841954,41954,Le Corbusier / Monterey [41954] ,-73.75163,45.584848,0,0,1
AOUT18CP41955,41955,Le Corbusier / Saint-Elzéar [41955] ,-73.74961,45.583068,0,1,1
JUIN18CP41955,41955,Le Corbusier / Saint-Elzéar [41955] ,-73.74961,45.583068,0,1,1
AOUT1841956,41956,Le Corbusier / Dagenais [41956] ,-73.75987,45.592591,0,0,0
JUIN1841956,41956,Le Corbusier / Dagenais [41956] ,-73.75987,45.592591,0,0,0
AOUT1841957,41957,Le Corbusier / Du Souvenir - Centre Laval [41957] ,-73.72908,45.562299,0,0,1
AOUT18CP41957,41957,Le Corbusier / Du Souvenir - Centre Laval [41957] ,-73.72908,45.562299,0,0,1
JUIN1841957,41957,Le Corbusier / Du Souvenir - Centre Laval [41957] ,-73.72908,45.562299,0,0,1
JUIN18CP41957,41957,Le Corbusier / Du Souvenir - Centre Laval [41957] ,-73.72908,45.562299,0,0,1
AOUT1841958,41958,Le Corbusier / Saint-Martin [41958] ,-73.73102,45.563894,0,0,1
JUIN1841958,41958,Le Corbusier / Saint-Martin [41958] ,-73.73102,45.563894,0,0,1
AOUT1841959,41959,Le Corbusier / Le Chatelier [41959] ,-73.75585,45.588604,0,0,0
JUIN1841959,41959,Le Corbusier / Le Chatelier [41959] ,-73.75585,45.588604,0,0,0
AOUT1841960,41960,Le Corbusier / Gutenberg [41960] ,-73.7426,45.574036,0,0,0
JUIN1841960,41960,Le Corbusier / Gutenberg [41960] ,-73.7426,45.574036,0,0,0
AOUT1841961,41961,Le Corbusier / Michelin [41961] ,-73.75305,45.586126,0,0,1
JUIN1841961,41961,Le Corbusier / Michelin [41961] ,-73.75305,45.586126,0,0,1
AOUT1841962,41962,Le Corbusier / Gutenberg [41962] ,-73.74213,45.573914,0,0,0
JUIN1841962,41962,Le Corbusier / Gutenberg [41962] ,-73.74213,45.573914,0,0,0
AOUT1841963,41963,Le Corbusier / Le Carrefour [41963] ,-73.74136,45.572967,0,0,1
JUIN1841963,41963,Le Corbusier / Le Carrefour [41963] ,-73.74136,45.572967,0,0,1
AOUT1841964,41964,Le Corbusier / Tessier [41964] ,-73.73876,45.570201,0,1,1
JUIN1841964,41964,Le Corbusier / Tessier [41964] ,-73.73876,45.570201,0,1,1
AOUT1841965,41965,Le Corbusier / Tessier [41965] ,-73.73817,45.570131,0,0,1
JUIN1841965,41965,Le Corbusier / Tessier [41965] ,-73.73817,45.570131,0,0,1
AOUT1841966,41966,Le Corbusier / Face Au 1828 [41966] ,-73.73689,45.568559,0,0,1
JUIN1841966,41966,Le Corbusier / Face Au 1828 [41966] ,-73.73689,45.568559,0,0,1
AOUT1841967,41967,Légaré / Hurtubise [41967] ,-73.77912,45.554237,0,0,0
JUIN1841967,41967,Légaré / Hurtubise [41967] ,-73.77912,45.554237,0,0,0
AOUT1841968,41968,Légaré / Letondal [41968] ,-73.78269,45.557,0,0,0
JUIN1841968,41968,Légaré / Letondal [41968] ,-73.78269,45.557,0,0,0
AOUT1841969,41969,Légaré / Hurteau [41969] ,-73.78047,45.555331,0,0,0
JUIN1841969,41969,Légaré / Hurteau [41969] ,-73.78047,45.555331,0,0,0
AOUT1841970,41970,Légaré / Hurteau [41970] ,-73.78085,45.55542,0,0,0
JUIN1841970,41970,Légaré / Hurteau [41970] ,-73.78085,45.55542,0,0,0
AOUT1841971,41971,Légaré / Letondal [41971] ,-73.78234,45.556918,0,0,0
JUIN1841971,41971,Légaré / Letondal [41971] ,-73.78234,45.556918,0,0,0
AOUT1841972,41972,Légaré / Hurtubise [41972] ,-73.77942,45.554272,0,0,0
JUIN1841972,41972,Légaré / Hurtubise [41972] ,-73.77942,45.554272,0,0,0
AOUT1841973,41973,Légaré / Cléroux [41973] ,-73.78303,45.557557,0,0,0
JUIN1841973,41973,Légaré / Cléroux [41973] ,-73.78303,45.557557,0,0,0
AOUT1841974,41974,Légaré / Fafard [41974] ,-73.7775,45.553026,0,0,0
JUIN1841974,41974,Légaré / Fafard [41974] ,-73.7775,45.553026,0,0,0
AOUT1841975,41975,Lesage / François-Foucault [41975] ,-73.66713,45.603136,0,0,0
JUIN1841975,41975,Lesage / François-Foucault [41975] ,-73.66713,45.603136,0,0,0
AOUT18CP41977,41977,Lesage / Tracy [41977] ,-73.66528,45.60169,0,0,0
JUIN18CP41977,41977,Lesage / Tracy [41977] ,-73.66528,45.60169,0,0,0
AOUT1841978,41978,Lesage / Jolicoeur [41978] ,-73.66866,45.605204,0,0,0
JUIN1841978,41978,Lesage / Jolicoeur [41978] ,-73.66866,45.605204,0,0,0
AOUT1841979,41979,Lesage / François-Foucault [41979] ,-73.66759,45.603208,0,0,0
JUIN1841979,41979,Lesage / François-Foucault [41979] ,-73.66759,45.603208,0,0,0
AOUT1841980,41980,Lesage / Face Au 1183 [41980] ,-73.66789,45.60785,0,0,0
JUIN1841980,41980,Lesage / Face Au 1183 [41980] ,-73.66789,45.60785,0,0,0
AOUT1841981,41981,Lesage / Jolicoeur [41981] ,-73.66896,45.604897,0,0,1
JUIN1841981,41981,Lesage / Jolicoeur [41981] ,-73.66896,45.604897,0,0,1
AOUT1841982,41982,Lesage / Charron [41982] ,-73.66733,45.609597,0,0,0
JUIN1841982,41982,Lesage / Charron [41982] ,-73.66733,45.609597,0,0,0
AOUT1841983,41983,Lesage / Face Au 1202 [41983] ,-73.66819,45.607949,0,0,0
JUIN1841983,41983,Lesage / Face Au 1202 [41983] ,-73.66819,45.607949,0,0,0
AOUT1841986,41986,Lévesque / Samson [41986] ,-73.75984,45.527827,0,0,0
JUIN1841986,41986,Lévesque / Samson [41986] ,-73.75984,45.527827,0,0,0
AOUT1841987,41987,Lévesque / Des Pinsons [41987] ,-73.61048,45.648241,0,0,0
JUIN1841987,41987,Lévesque / Des Pinsons [41987] ,-73.61048,45.648241,0,0,0
AOUT1841988,41988,Lévesque / Face Au 7312 [41988] ,-73.6081,45.648937,0,0,0
JUIN1841988,41988,Lévesque / Face Au 7312 [41988] ,-73.6081,45.648937,0,0,0
AOUT1841989,41989,Lévesque / Face Au 7327 [41989] ,-73.608,45.649126,0,0,0
JUIN1841989,41989,Lévesque / Face Au 7327 [41989] ,-73.608,45.649126,0,0,0
AOUT1841990,41990,Lévesque / Des Pelicans [41990] ,-73.60494,45.650298,0,0,0
JUIN1841990,41990,Lévesque / Des Pelicans [41990] ,-73.60494,45.650298,0,0,0
AOUT1841991,41991,Lévesque / Des Pelicans [41991] ,-73.6048,45.65055,0,0,1
JUIN1841991,41991,Lévesque / Des Pelicans [41991] ,-73.6048,45.65055,0,0,1
AOUT1841992,41992,Lévesque / Des Hêtres [41992] ,-73.60315,45.651263,0,0,0
AOUT18CP41992,41992,Lévesque / Des Hêtres [41992] ,-73.60315,45.651263,0,0,0
JUIN1841992,41992,Lévesque / Des Hêtres [41992] ,-73.60315,45.651263,0,0,0
JUIN18CP41992,41992,Lévesque / Des Hêtres [41992] ,-73.60315,45.651263,0,0,0
AOUT1841993,41993,Lévesque / Des Hêtres [41993] ,-73.60297,45.651569,0,0,1
